found_minima,found_saddles,bias_count,energy_calls_at_each_min,force_calls_at_each_min,run_id,seed,bias_std_dev_scale,bias_covariance,bias_height_fraction,bias_height,perturbation_size,optimizer
"[array([0.62349941, 0.02803776]), array([-0.0500109 ,  0.46669412]), array([-0.55822362,  1.44172586])]","[array([0.10637282, 0.19153073]), array([-0.21560313,  0.11184614]), array([0.10637282, 0.19153073]), array([-0.21560313,  0.11184614])]",168,"[101, 3210, 19719]","[101, 3210, 19719]",821,2,0.125,0.004726562500000001,0.2,7.6000000000000005,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001087,  0.46669411]), array([-0.55822363,  1.44172584])]","[array([0.2820746 , 0.33856152]), array([0.49950467, 0.49077752]), array([0.2820746 , 0.33856152]), array([0.49950467, 0.49077752])]",161,"[101, 2645, 18849]","[101, 2645, 18849]",822,3,0.125,0.004726562500000001,0.2,7.6000000000000005,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05007747,  0.46670933]), array([-0.55822364,  1.44172583])]","[array([0.22311386, 0.27697629]), array([-0.83198456,  0.61937916]), array([0.22311386, 0.27697629]), array([-0.83198456,  0.61937916])]",1102,"[101, 22459, 131371]","[101, 22459, 131371]",761,2,0.2,0.012100000000000003,0.01,0.38,0.005,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001124,  0.46669419]), array([-0.55822362,  1.44172585])]","[array([0.19944452, 0.29695399]), array([0.51166043, 0.48681109]), array([0.19944452, 0.29695399]), array([0.51166043, 0.48681109])]",195,"[101, 2438, 23097]","[101, 2438, 23097]",823,4,0.125,0.004726562500000001,0.2,7.6000000000000005,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.0500108,  0.4666941]), array([-0.55822365,  1.44172583])]","[array([0.27607819, 0.29443681]), array([-0.71798855,  0.64526358]), array([0.27607819, 0.29443681]), array([-0.71798855,  0.64526358])]",94,"[101, 2670, 11171]","[101, 2670, 11171]",824,5,0.125,0.004726562500000001,0.2,7.6000000000000005,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001087,  0.46669411]), array([-0.55822365,  1.44172583])]","[array([0.15075339, 0.22474002]), array([0.63739991, 0.40364306]), array([0.15075339, 0.22474002]), array([0.63739991, 0.40364306])]",227,"[101, 2972, 26914]","[101, 2972, 26914]",825,6,0.125,0.004726562500000001,0.2,7.6000000000000005,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001078,  0.4666941 ]), array([-0.55822365,  1.44172582])]","[array([0.18899937, 0.2570025 ]), array([-0.75467989,  0.68610214]), array([0.18899937, 0.2570025 ]), array([-0.75467989,  0.68610214])]",169,"[101, 3669, 20196]","[101, 3669, 20196]",826,7,0.125,0.004726562500000001,0.2,7.6000000000000005,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001088,  0.46669412]), array([-0.55822364,  1.44172583])]","[array([0.23803644, 0.3021751 ]), array([-0.75026992,  0.65413062]), array([0.23803644, 0.3021751 ]), array([-0.75026992,  0.65413062])]",150,"[101, 2077, 17882]","[101, 2077, 17882]",827,8,0.125,0.004726562500000001,0.2,7.6000000000000005,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001085,  0.46669411]), array([-0.55822365,  1.44172583])]","[array([0.09866369, 0.15190775]), array([-0.82917882,  0.60033229]), array([0.09866369, 0.15190775]), array([-0.82917882,  0.60033229])]",109,"[101, 4659, 12751]","[101, 4659, 12751]",828,9,0.125,0.004726562500000001,0.2,7.6000000000000005,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001078,  0.46669411]), array([-0.55822364,  1.44172584])]","[array([0.27450668, 0.29484712]), array([-0.19525151,  0.05720364]), array([0.27450668, 0.29484712]), array([-0.19525151,  0.05720364])]",173,"[101, 2713, 20499]","[101, 2713, 20499]",829,10,0.125,0.004726562500000001,0.2,7.6000000000000005,0.01,FIRE
