found_minima,found_saddles,bias_count,energy_calls_at_each_min,force_calls_at_each_min,run_id,seed,bias_std_dev_scale,bias_covariance,bias_height_fraction,bias_height,perturbation_size,optimizer
"[array([0.62349941, 0.02803776]), array([-0.05001815,  0.46669594]), array([-0.55822365,  1.44172582])]","[array([0.21761671, 0.30708177]), array([-0.32473729,  0.17136648]), array([0.21761671, 0.30708177]), array([-0.32473729,  0.17136648])]",97,"[101, 1266, 11350]","[101, 1266, 11350]",447,8,0.2,0.012100000000000003,0.2,7.6000000000000005,0.005,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05010118,  0.46671801]), array([-0.55822363,  1.44172585])]","[array([0.10153065, 0.13689736]), array([-0.8380889 ,  0.59585272]), array([0.10153065, 0.13689736]), array([-0.8380889 ,  0.59585272])]",40,"[101, 1802, 4954]","[101, 1802, 4954]",428,9,0.2,0.012100000000000003,0.2,7.6000000000000005,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05005797,  0.46670686]), array([-0.55822364,  1.44172583])]","[array([0.24899634, 0.29363547]), array([-0.83328332,  0.615519  ]), array([0.24899634, 0.29363547]), array([-0.83328332,  0.615519  ])]",118,"[101, 2377, 13652]","[101, 2377, 13652]",503,4,0.2,0.012100000000000003,0.1,3.8000000000000003,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05002847,  0.46669856]), array([-0.55822362,  1.44172585])]","[array([0.15578179, 0.17586622]), array([-0.86681326,  0.6173064 ]), array([0.15578179, 0.17586622]), array([-0.86681326,  0.6173064 ])]",68,"[101, 2070, 7888]","[101, 2070, 7888]",429,10,0.2,0.012100000000000003,0.2,7.6000000000000005,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.050069  ,  0.46670931]), array([-0.55822363,  1.44172584])]","[array([0.14194197, 0.45158604]), array([-0.49665845,  0.49792034]), array([0.14194197, 0.45158604]), array([-0.49665845,  0.49792034])]",24,"[13, 108, 414]","[13, 108, 414]",430,1,0.2,0.012100000000000003,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001095,  0.46669413]), array([-0.55822363,  1.44172584])]","[array([-0.00241778,  0.47244706]), array([-0.44809782,  0.39417258]), array([-0.00241778,  0.47244706]), array([-0.44809782,  0.39417258])]",35,"[13, 150, 701]","[13, 150, 701]",431,2,0.2,0.012100000000000003,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001935,  0.46669626]), array([-0.55822365,  1.44172583])]","[array([0.17602599, 0.25542653]), array([-0.8199196 ,  0.60845315]), array([0.17602599, 0.25542653]), array([-0.8199196 ,  0.60845315])]",93,"[101, 2618, 10743]","[101, 2618, 10743]",504,5,0.2,0.012100000000000003,0.1,3.8000000000000003,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05002528,  0.46669783]), array([-0.55822362,  1.44172586])]","[array([0.22451703, 0.32663756]), array([-0.84226846,  0.61286853]), array([0.22451703, 0.32663756]), array([-0.84226846,  0.61286853])]",113,"[101, 2060, 13209]","[101, 2060, 13209]",505,6,0.2,0.012100000000000003,0.1,3.8000000000000003,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.0500615 ,  0.46670764]), array([-0.55822362,  1.44172586])]","[array([0.25327322, 0.3084965 ]), array([-0.83217741,  0.61093659]), array([0.25327322, 0.3084965 ]), array([-0.83217741,  0.61093659])]",138,"[101, 2566, 16273]","[101, 2566, 16273]",506,7,0.2,0.012100000000000003,0.1,3.8000000000000003,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05002949,  0.46669895]), array([-0.55822362,  1.44172586])]","[array([0.23669652, 0.29021219]), array([-0.83089908,  0.60835233]), array([0.23669652, 0.29021219]), array([-0.83089908,  0.60835233])]",106,"[101, 1737, 12476]","[101, 1737, 12476]",507,8,0.2,0.012100000000000003,0.1,3.8000000000000003,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05002846,  0.46669861]), array([-0.55822364,  1.44172583])]","[array([0.20876613, 0.30232549]), array([-0.83145886,  0.61145252]), array([0.20876613, 0.30232549]), array([-0.83145886,  0.61145252])]",110,"[101, 3368, 12627]","[101, 3368, 12627]",508,9,0.2,0.012100000000000003,0.1,3.8000000000000003,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05002117,  0.46669676]), array([-0.55822365,  1.44172582])]","[array([0.2097554 , 0.29814598]), array([-0.83046107,  0.59983428]), array([0.2097554 , 0.29814598]), array([-0.83046107,  0.59983428])]",121,"[101, 2772, 14230]","[101, 2772, 14230]",509,10,0.2,0.012100000000000003,0.1,3.8000000000000003,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05002019,  0.4666965 ]), array([-0.55822363,  1.44172584])]","[array([0.25653418, 0.24841562]), array([-0.19031957,  0.47233447]), array([0.25653418, 0.24841562]), array([-0.19031957,  0.47233447])]",15,"[13, 148, 211]","[13, 148, 211]",510,1,0.2,0.012100000000000003,0.1,3.8000000000000003,0.01,Scipy
