run_id,saddle_error_mean,saddle_error_stdv,minima_error_mean,minima_error_stdv,bias_count_mean,bias_count_stdv,energy_calls_mean,energy_calls_stdv,force_calls_mean,force_calls_stdv,bias_std_dev_scale,bias_covariance,bias_height_fraction,bias_height,perturbation_size,optimizer
102,0.04108057444538928,0.01068243535621117,0.40188164593749987,0.4018816459374999,734.3333333333334,17.172329163188344,"[104.0, 18315.0, 105265.66666666667]","[0.0, 1207.1064576084414, 2318.1749047233016]","[104.0, 18315.0, 105265.66666666667]","[0.0, 1207.1064576084414, 2318.1749047233016]",0.125,0.0047265625,0.0333333333333333,1.2666666666666666,0.0001,FIRE
103,0.15576053403831916,0.09808075471809673,0.4018816459374999,0.4018816459375,225.0,61.38403701289123,"[13.0, 6731.666666666667, 10789.333333333334]","[0.0, 656.1332859174947, 2374.9549235488425]","[13.0, 6731.666666666667, 10789.333333333334]","[0.0, 656.1332859174947, 2374.9549235488425]",0.125,0.0047265625,0.0333333333333333,1.2666666666666666,0.0001,Scipy
104,0.7459367443789603,0.07456296649224198,0.4018816468470885,0.4018816468470885,1244.0,37.58545818087983,"[104.0, 30266.666666666668, 173981.0]","[0.0, 1736.6892512926877, 3645.80644942469]","[104.0, 30266.666666666668, 173981.0]","[0.0, 1736.6892512926877, 3645.80644942469]",0.125,0.0047265625,0.02,0.76,0.1,FIRE
105,0.6609716105917876,0.3612327446766987,0.2679210942167796,0.3788976450872095,400.6666666666667,284.90739236148687,"[13.0, 6762.0, 15570.0]","[0.0, 365.53248829618417, 10519.606107961774]","[13.0, 6762.0, 15570.0]","[0.0, 365.53248829618417, 10519.606107961774]",0.125,0.0047265625,0.02,0.76,0.1,Scipy
106,0.03596601267000785,0.016276457736543553,0.4018816524333952,0.40188165243339513,1221.0,27.27636339397171,"[104.0, 28978.666666666668, 173313.33333333334]","[0.0, 1332.0666483158998, 2138.2554155718217]","[104.0, 28978.666666666668, 173313.33333333334]","[0.0, 1332.0666483158998, 2138.2554155718217]",0.125,0.0047265625,0.02,0.76,0.01,FIRE
107,0.10533356796928646,0.08304458058984117,0.13396054941455504,0.29954489479416474,581.0,267.34621747838514,"[13.0, 7452.666666666667, 22441.333333333332]","[0.0, 3129.8839524103055, 8628.517846201757]","[13.0, 7452.666666666667, 22441.333333333332]","[0.0, 3129.8839524103055, 8628.517846201757]",0.125,0.0047265625,0.02,0.76,0.01,Scipy
108,0.04100842140217978,0.017543878731072986,0.40188164454092323,0.4018816445409233,1180.6666666666667,20.07209228976613,"[104.0, 27381.666666666668, 170185.33333333334]","[0.0, 1502.2492765479665, 2120.3486086542994]","[104.0, 27381.666666666668, 170185.33333333334]","[0.0, 1502.2492765479665, 2120.3486086542994]",0.125,0.0047265625,0.02,0.76,0.001,FIRE
109,0.12060373264848916,0.04277401402461688,0.2679210942167796,0.3788976450872095,491.0,210.56748720224275,"[13.0, 6833.333333333333, 18347.0]","[0.0, 740.4617178190616, 7449.241974858918]","[13.0, 6833.333333333333, 18347.0]","[0.0, 740.4617178190616, 7449.241974858918]",0.125,0.0047265625,0.02,0.76,0.001,Scipy
110,0.03614111331435492,0.015319140865943137,0.4018816496402418,0.4018816496402418,1191.3333333333333,37.959042254631356,"[104.0, 28392.0, 175128.66666666666]","[0.0, 531.4759323494026, 7140.347906245341]","[104.0, 28392.0, 175128.66666666666]","[0.0, 531.4759323494026, 7140.347906245341]",0.125,0.0047265625,0.02,0.76,0.0001,FIRE
111,0.18162086477613595,0.11053978327926087,0.13396054877505648,0.29954488889206654,717.3333333333334,372.1615539281593,"[13.0, 4319.333333333333, 25627.333333333332]","[0.0, 1493.1957525909172, 12964.14433050721]","[13.0, 4319.333333333333, 25627.333333333332]","[0.0, 1493.1957525909172, 12964.14433050721]",0.125,0.0047265625,0.02,0.76,0.0001,Scipy
112,0.692048644029569,0.02847578174933422,0.4018816468470885,0.4018816468470885,2000.0,0.0,"[104.0, 60775.0]","[0.0, 785.7561114408635]","[104.0, 60775.0]","[0.0, 785.7561114408635]",0.125,0.0047265625,0.01,0.38,0.1,FIRE
