found_minima,found_saddles,minima_l2_error_mean,minima_l2_error_stdv,minima_l2_error_max,saddle_l2_error_mean,saddle_l2_error_stdv,saddle_l2_error_max,bias_count,energy_calls_at_each_min,force_calls_at_each_min,run_id,seed,bias_std_dev_scale,bias_covariance,bias_height_fraction,bias_height,perturbation_size,optimizer
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ]), array([-0.55822363,  1.44172584])]","[array([-0.05785394,  0.46534877]), array([0.20793489, 0.38704966]), array([-0.05785394,  0.46534877]), array([0.20793489, 0.38704966])]",1.5753841826832197e-10,9.284992597989126e-11,2.455058358066877e-10,0.20739175254836786,0.11322035038518954,0.3206121029335574,581,"[13, 20119, 23803]","[13, 20119, 23803]",479,111,0.1,0.0030250000000000008,0.01,0.38,0.0001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ]), array([-0.55822363,  1.44172584])]","[array([0.20776429, 0.29539716]), array([-0.80337389,  0.65742294]), array([0.20776429, 0.29539716]), array([-0.80337389,  0.65742294])]",1.415973726224304e-09,6.449813997823631e-10,2.3267224131882425e-09,0.021645796835074407,0.01634461703471704,0.03799041386979145,1978,"[104, 42374, 268481]","[104, 42374, 268481]",547,61,0.07142857142857142,0.0015433673469387754,0.03333333333333333,1.2666666666666666,0.0001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ])]","[array([0.18894053, 0.28555219]), array([0.18894053, 0.28555219])]",2.42624270533359e-09,1.4220069731458496e-09,3.84824967847944e-09,0.024692364393247096,0.0,0.024692364393247096,2000,"[104, 75230]","[104, 75230]",566,111,0.07142857142857142,0.0015433673469387754,0.02,0.76,0.001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001083,  0.4666941 ])]","[array([0.2089409 , 0.28925294]), array([0.2089409 , 0.28925294])]",2.435731780335025e-09,1.4314960481472848e-09,3.86722782848231e-09,0.005150236909541137,0.0,0.005150236909541137,2000,"[104, 69865]","[104, 69865]",564,42,0.07142857142857142,0.0015433673469387754,0.02,0.76,0.001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ])]","[array([0.21877562, 0.29057151]), array([0.21877562, 0.29057151])]",2.6478904966064595e-09,1.6436547644187193e-09,4.291545261025179e-09,0.00673743289549759,0.0,0.00673743289549759,2000,"[104, 68788]","[104, 68788]",571,61,0.07142857142857142,0.0015433673469387754,0.02,0.76,0.0001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ])]","[array([0.21537789, 0.29201145]), array([0.21537789, 0.29201145])]",2.04617847097273e-09,1.0419427387849898e-09,3.0881212097577197e-09,0.0030518738784161233,0.0,0.0030518738784161233,2000,"[104, 74201]","[104, 74201]",559,61,0.07142857142857142,0.0015433673469387754,0.02,0.76,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001083,  0.46669411])]","[array([0.21975733, 0.29179097]), array([0.21975733, 0.29179097])]",2.640190897910848e-09,1.6359551657231075e-09,4.276146063633956e-09,0.007368683741139077,0.0,0.007368683741139077,2000,"[104, 85440]","[104, 85440]",474,42,0.1,0.0030250000000000008,0.01,0.38,0.0001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822363,  1.44172584])]","[array([0.27670907, 0.05559342]), array([0.27670907, 0.05559342])]",2.0778455579360538e-10,3.7721280013082316e-11,2.455058358066877e-10,0.2459285898776463,0.0,0.2459285898776463,2000,"[13, 24896]","[13, 24896]",593,111,0.07142857142857142,0.0015433673469387754,0.01,0.38,0.001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001083,  0.4666941 ])]","[array([0.21370767, 0.29093946]), array([0.21370767, 0.29093946])]",2.21019124030634e-09,1.2059555081185997e-09,3.4161467484249396e-09,0.0023851441664361687,0.0,0.0023851441664361687,2000,"[104, 148219]","[104, 148219]",583,61,0.07142857142857142,0.0015433673469387754,0.01,0.38,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ])]","[array([ 0.59004643, -0.17550948]), array([ 0.59004643, -0.17550948])]",2.7721003284818986e-09,1.7678645962941582e-09,4.539964924776057e-09,0.6016989525068143,0.0,0.6016989525068143,2000,"[104, 73534]","[104, 73534]",553,61,0.07142857142857142,0.0015433673469387754,0.02,0.76,0.1,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001083,  0.46669411])]","[array([0.85067772, 0.17811707]), array([0.85067772, 0.17811707])]",1.8516614791455363e-09,8.47425746957796e-10,2.6990872261033324e-09,0.6484468631364212,0.0,0.6484468631364212,2000,"[104, 86157]","[104, 86157]",458,111,0.1,0.0030250000000000008,0.01,0.38,0.1,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822363,  1.44172584])]","[array([0.27845497, 0.13103603]), array([0.27845497, 0.13103603])]",2.2182790435792245e-10,2.3677931448765248e-11,2.455058358066877e-10,0.1748724547381133,0.0,0.1748724547381133,2000,"[13, 20277]","[13, 20277]",567,42,0.07142857142857142,0.0015433673469387754,0.02,0.76,0.001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001083,  0.46669411])]","[array([ 0.9003931 , -0.12328766]), array([ 0.9003931 , -0.12328766])]",2.9200339571417797e-09,1.9157982249540396e-09,4.835832182095819e-09,0.8040529026785073,0.0,0.8040529026785073,2000,"[104, 149974]","[104, 149974]",577,61,0.07142857142857142,0.0015433673469387754,0.01,0.38,0.1,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001083,  0.46669411])]","[array([ 0.91592366, -0.03759346]), array([ 0.91592366, -0.03759346])]",1.84700345446214e-09,8.427677222743995e-10,2.6897711767365394e-09,0.7772438739269156,0.0,0.7772438739269156,2000,"[104, 159906]","[104, 159906]",589,61,0.07142857142857142,0.0015433673469387754,0.01,0.38,0.001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822363,  1.44172584])]","[array([ 0.80762003, -0.12668076]), array([ 0.80762003, -0.12668076])]",1.8325870292054633e-10,6.224713288614137e-11,2.455058358066877e-10,0.7282210946416346,0.0,0.7282210946416346,2000,"[13, 13589]","[13, 13589]",459,42,0.1,0.0030250000000000008,0.01,0.38,0.1,Scipy
